date,open,high,low,close,volume,adjclose
1610394946,129.19000244140625,130.1699981689453,128.5,129.15499877929688,71526485,129.15499877929688
1610116200,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,104965400,132.0500030517578
1610029800,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,109578200,130.9199981689453
1609943400,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,155088000,126.5999984741211
1609857000,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,97664900,131.00999450683594
1609770600,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,143301900,129.41000366210938
1609425000,134.0800018310547,134.74000549316406,131.72000122070312,132.69000244140625,98990400,132.69000244140625
1609338600,135.5800018310547,135.99000549316406,133.39999389648438,133.72000122070312,96452100,133.72000122070312
1609252200,138.0500030517578,138.7899932861328,134.33999633789062,134.8699951171875,121047300,134.8699951171875
1609165800,133.99000549316406,137.33999633789062,133.50999450683594,136.69000244140625,124486200,136.69000244140625
1608820200,131.32000732421875,133.4600067138672,131.10000610351562,131.97000122070312,54930100,131.97000122070312
1608733800,132.16000366210938,132.42999267578125,130.77999877929688,130.9600067138672,88223700,130.9600067138672
1608647400,131.61000061035156,134.41000366210938,129.64999389648438,131.8800048828125,168904800,131.8800048828125
1608561000,125.0199966430664,128.30999755859375,123.44999694824219,128.22999572753906,121251600,128.22999572753906
1608301800,128.9600067138672,129.10000610351562,126.12000274658203,126.66000366210938,192541500,126.66000366210938
1608215400,128.89999389648438,129.5800018310547,128.0399932861328,128.6999969482422,94359800,128.6999969482422
1608129000,127.41000366210938,128.3699951171875,126.55999755859375,127.80999755859375,98208600,127.80999755859375
1608042600,124.33999633789062,127.9000015258789,124.12999725341797,127.87999725341797,157572300,127.87999725341797
1607956200,122.5999984741211,123.3499984741211,121.54000091552734,121.77999877929688,79184500,121.77999877929688
1607697000,122.43000030517578,122.76000213623047,120.55000305175781,122.41000366210938,86939800,122.41000366210938
1607610600,120.5,123.87000274658203,120.1500015258789,123.23999786376953,81312200,123.23999786376953
1607524200,124.52999877929688,125.94999694824219,121,121.77999877929688,115089200,121.77999877929688
1607437800,124.37000274658203,124.9800033569336,123.08999633789062,124.37999725341797,82225500,124.37999725341797
1607351400,122.30999755859375,124.56999969482422,122.25,123.75,86712000,123.75
1607092200,122.5999984741211,122.86000061035156,121.5199966430664,122.25,78260400,122.25
1607005800,123.5199966430664,123.77999877929688,122.20999908447266,122.94000244140625,78967600,122.94000244140625
1606919400,122.0199966430664,123.37000274658203,120.88999938964844,123.08000183105469,89004200,123.08000183105469
1606833000,121.01000213623047,123.47000122070312,120.01000213623047,122.72000122070312,128166800,122.72000122070312
1606746600,116.97000122070312,120.97000122070312,116.80999755859375,119.05000305175781,169410200,119.05000305175781
1606487400,116.56999969482422,117.48999786376953,116.22000122070312,116.58999633789062,46691300,116.58999633789062
1606314600,115.55000305175781,116.75,115.16999816894531,116.02999877929688,76499200,116.02999877929688
1606228200,113.91000366210938,115.8499984741211,112.58999633789062,115.16999816894531,113874200,115.16999816894531
1606141800,117.18000030517578,117.62000274658203,113.75,113.8499984741211,127959300,113.8499984741211
1605882600,118.63999938964844,118.7699966430664,117.29000091552734,117.33999633789062,73604300,117.33999633789062
1605796200,117.58999633789062,119.05999755859375,116.80999755859375,118.63999938964844,74113000,118.63999938964844
1605709800,118.61000061035156,119.81999969482422,118,118.02999877929688,76322100,118.02999877929688
1605623400,119.55000305175781,120.66999816894531,118.95999908447266,119.38999938964844,74271000,119.38999938964844
1605537000,118.91999816894531,120.98999786376953,118.1500015258789,120.30000305175781,91183000,120.30000305175781
1605277800,119.44000244140625,119.66999816894531,117.87000274658203,119.26000213623047,81581900,119.26000213623047
1605191400,119.62000274658203,120.52999877929688,118.56999969482422,119.20999908447266,103162300,119.20999908447266
1605105000,117.19000244140625,119.62999725341797,116.44000244140625,119.48999786376953,112295000,119.48999786376953
1605018600,115.55000305175781,117.58999633789062,114.12999725341797,115.97000122070312,138023400,115.97000122070312
1604932200,120.5,121.98999786376953,116.05000305175781,116.31999969482422,154515300,116.31999969482422
1604673000,118.31999969482422,119.19999694824219,116.12999725341797,118.69000244140625,114457900,118.69000244140625
0.205,1604673000,DIVIDEND,0.205
1604586600,117.94999694824219,119.62000274658203,116.87000274658203,119.02999877929688,126387100,118.82499694824219
1604500200,114.13999938964844,115.58999633789062,112.3499984741211,114.94999694824219,138235500,114.75202178955078
1604413800,109.66000366210938,111.48999786376953,108.7300033569336,110.44000244140625,107624400,110.24979400634766
1604327400,109.11000061035156,110.68000030517578,107.31999969482422,108.7699966430664,122866900,108.5826644897461
1604064600,111.05999755859375,111.98999786376953,107.72000122070312,108.86000061035156,190272600,108.67251586914062
1603978200,112.37000274658203,116.93000030517578,112.19999694824219,115.31999969482422,146129200,115.12138366699219
1603891800,115.05000305175781,115.43000030517578,111.0999984741211,111.19999694824219,143937800,111.00847625732422
1603805400,115.48999786376953,117.27999877929688,114.54000091552734,116.5999984741211,92276800,116.39917755126953
1603719000,114.01000213623047,116.55000305175781,112.87999725341797,115.05000305175781,111850700,114.85185241699219
1603459800,116.38999938964844,116.55000305175781,114.27999877929688,115.04000091552734,82572600,114.84187316894531
1603373400,117.44999694824219,118.04000091552734,114.58999633789062,115.75,101988000,115.55064392089844
1603287000,116.66999816894531,118.70999908447266,116.44999694824219,116.87000274658203,89946000,116.6687240600586
1603200600,116.19999694824219,118.9800033569336,115.62999725341797,117.51000213623047,124423700,117.3076171875
1603114200,119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,120639300,115.7802505493164
1602855000,121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,115393800,118.81501007080078
